"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1797.04808564769","1816.93506768041","1873.51834027532","1919.71147995692","1952.16260043359","2008.79960619838","2055.39642747771","2102.80777894947","2166.20076747781","2221.96328652668","2294.34366298278","2365.78507355487","2412.16380317576","2483.1260462165","2571.36042061553","2699.05008071957","2840.60287043991","3004.03432125823","3148.41350378984","3270.52474274139","3414.13227036953","3593.49531905346","3783.92399094259","3965.37056622255","4157.91930405716","4381.06926812402","4641.59736291004","4894.5633653895","5197.76505125002","5550.03277751273","5684.11353307991","6019.51875199849",
"Bulgaria","BGR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12507.7135892583","11565.373835982","10840.0787257758","10765.1506319633","10998.1471243438","11362.6463517232","12015.9268076552","10382.8514536395","10848.4211768635","9993.44917355681","10503.620312206","11124.5060725281","12036.183319989","12767.2686035291","13701.5014217846","14779.193046655","15904.9019574077","17078.3683006756","18250.5405209264","17767.5142399786","18160.6082442238","18661.4799578533","18911.5843050238","18911.1260053992","19202.8089285445","19988.2244923714","20740.7948473544","21469.9454411605","22206.0907800663","23265.8769207936","22379.0943129927","23431.967608547",
"Bahrain","BHR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38601.0327316615","41770.6421477913","43430.2713411364","47819.4239458923","46538.7747226765","47157.2167609521","47825.8742542915","47957.0685646187","48717.1820404672","48988.570176162","49406.2910308378","48245.775482163","47311.7455106711","47476.9833537752","47661.3940699161","47493.1483991775","46910.1911420582","47000.3153341983","46408.8320829659","44759.3947196856","44599.804972084","44157.4796400241","45035.9785547932","46930.8307282373","48201.1571717366","48110.7341930587","47937.7090620549","47709.7780156397","46377.6504762037","45311.8683029627","41545.8414992942","41335.6331134108",
"Bahamas, The","BHS","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38073.8649154802","35813.5835019919","33793.4204006941","33267.5476943712","33719.9937871204","34652.5675867866","35632.7241259893","37634.4058303973","35539.1730492885","39404.497656748","40491.1786447974","40926.1930047002","41344.6671017472","40109.2503653838","39731.17402702","40327.0837537882","40569.7476681226","40381.4592837916","38720.963131586","36475.7444174003","36480.0809175717","36229.5090646052","36937.1865499089","35529.626169584","35847.8560481642","35859.2937498651","35201.5136027698","35911.6543529589","36200.6958819742","36522.4029910409","27555.6573528015","31046.7910948148",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1653.42365501528","2053.39917232107","3946.67047032813","5344.15930625211","6180.7132900043","6757.74798718927","7604.5140428527","7779.7983839467","8162.50120656675","8471.86912854235","9002.91549405311","9350.9481344641","9856.97319628555","10441.6043952248","11035.0434142636","10755.9758261262","10938.2898350828","11176.8817066896","11257.8399928221","11725.2559941786","12066.5923389441","12630.667682502","13194.3310345033","13753.8379418909","14386.7382738597","14896.7965119383","14520.9060449848","15634.9265630873",
"Belarus","BLR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8895.17270254192","8784.37736511225","7923.65035566891","7305.30690938528","6458.21455927607","5805.36315610077","5988.03970960276","6698.45787856987","7293.90821566164","7575.91832595163","8053.17363808324","8477.08401148315","8961.64111959338","9660.19368845286","10839.9562728165","11940.1865961058","13214.87158024","14417.3535308989","15942.8976797373","16014.1155277101","17300.7036830881","18274.0207167069","18611.4542129387","18805.4308685766","19119.3461515636","18362.7455862583","17883.1264992839","18356.1007741722","18974.6998134505","19279.209247881","19186.7758146348","19751.2039053496",
"Belize","BLZ","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4773.49466480789","5221.01625471697","5754.60106030028","6013.59371497508","5902.04829083582","5788.45705418898","5687.12572430407","5678.36066907576","5668.86691701032","5941.23692224922","6488.5642944027","6606.33144782909","6750.9671337076","7188.33420136734","7329.77993345344","7298.67988133992","7433.81534092262","7327.05571212005","7337.74034326087","7176.52687962988","7235.6590144999","7178.68585752577","7184.08373821608","7083.35805193722","7239.27826944955","7292.82685523214","7132.06576878479","7140.90511885309","7148.12827571894","7152.65741388462","5845.7060617463","6300.27444259148",
"Bermuda","BMU","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65961.4062780667","63958.8962542416","64385.4074102651","65967.8500138776","65904.7204209603","68313.3818545185","69643.4075205287","72403.8804374561","74677.0924239116","76772.3238467835","83181.5263421175","88231.783860841","86364.153739107","88727.3112693061","90195.8115646944","91114.0769901835","95615.3606970562","98257.9926982026","95855.800692618","89961.9827443671","88399.9159492493","85829.3782604391","80982.367755316","80503.6502910788","77361.1048812589","77842.7539032209","78149.352535184","81834.9558735543","81423.4084533215","81681.7266682559","76105.138057446","77546.6103251632",
"Bolivia","BOL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4587.42935936156","4728.04744932297","4705.58714505519","4804.54008874345","4925.10762703017","5050.31384735537","5164.25007321453","5312.08101475591","5469.469867113","5386.17911964699","5415.52613218124","5402.75945978793","5434.08387007517","5479.26688776603","5605.2019265007","5749.53160492642","5920.70971101919","6085.38647365464","6351.22627392192","6455.96832891509","6612.80335711566","6844.98378288122","7081.38612822582","7444.49080937508","7730.63840212872","7984.41198272424","8202.54423164277","8423.69755965624","8655.53149780443","8724.47418740562","7853.05397242703","8219.942366197",
"Brazil","BRA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10520.743471847","10443.958987636","10211.2980216613","10537.2732229259","10973.2538281757","11254.1168262262","11321.3898013889","11524.1109961849","11387.6234853267","11272.7067288664","11600.9483833542","11602.4995299995","11800.8408908174","11786.3336776655","12316.374186014","12565.9413969911","12922.1554868403","13564.9942008518","14114.9747722763","13962.2588798839","14873.2083173363","15323.3313867559","15478.792838839","15805.2229104713","15749.5121636814","15064.1760688552","14451.1528423266","14524.6135408174","14668.2561636292","14736.1560621677","14063.9718283924","14615.0455823644",
